Hundee |Root|,Jirma |Stem|,Ani |I|,Nuti |We|,Ati |You|,Isin |You|,Inni |He|,Isheen |She|,Isaan |They|
addeessan,addeess_,Ani addeesse,Nuti addeessne,Ati addeesste,Isin addeesstan,Inni addeesse,Isheen addeesste,Isaan addeessan
afeeruu,afeer_,Ani afeere,Nuti afeerne,Ati afeerte,Isin afeertan,Inni afeere,Isheen afeerte,Isaan afeeran
aguugan,aguug_,Ani aguuge,Nuti aguugne,Ati aguugte,Isin aguugtan,Inni aguuge,Isheen aguugte,Isaan aguugan
argachuu,argat_,Ani argate,Nuti argatne,Ati argatte,Isin argattan,Inni argate,Isheen argatte,Isaan argatan
argadhe,argat_,Ani argate,Nuti argatne,Ati argatte,Isin argattan,Inni argate,Isheen argatte,Isaan argatan
argame,argam_,Ani argame,Nuti argamne,Ati argamte,Isin argamtan,Inni argame,Isheen argamte,Isaan argaman
argamne,argam_,Ani argame,Nuti argamne,Ati argamte,Isin argamtan,Inni argame,Isheen argamte,Isaan argaman
argamu,argam_,Ani argame,Nuti argamne,Ati argamte,Isin argamtan,Inni argame,Isheen argamte,Isaan argaman
argamuu,argam_,Ani argame,Nuti argamne,Ati argamte,Isin argamtan,Inni argame,Isheen argamte,Isaan argaman
argan,arg_,Ani arge,Nuti argne,Ati argte,Isin argtan,Inni arge,Isheen argte,Isaan argan
argatan,argat_,Ani argate,Nuti argatne,Ati argatte,Isin argattan,Inni argate,Isheen argatte,Isaan argatan
argate,argat_,Ani argate,Nuti argatne,Ati argatte,Isin argattan,Inni argate,Isheen argatte,Isaan argatan
argine,argi_,Ani argie,Nuti argine,Ati argite,Isin argitan,Inni argie,Isheen argite,Isaan argian
arjoome,arjoom_,Ani arjoome,Nuti arjoomne,Ati arjoomte,Isin arjoomtan,Inni arjoome,Isheen arjoomte,Isaan arjooman
baafaman,baafam_,Ani baafame,Nuti baafamne,Ati baafamte,Isin baafamtan,Inni baafame,Isheen baafamte,Isaan baafaman
baasuu,baas_,Ani baase,Nuti baasne,Ati baaste,Isin baastan,Inni baase,Isheen baaste,Isaan baasan
baasuun,baas_,Ani baase,Nuti baasne,Ati baaste,Isin baastan,Inni baase,Isheen baaste,Isaan baasan
bade,bad_,Ani bade,Nuti badne,Ati badte,Isin badtan,Inni bade,Isheen badte,Isaan badan
badu,bad_,Ani bade,Nuti badne,Ati badte,Isin badtan,Inni bade,Isheen badte,Isaan badan
baduun,bad_,Ani bade,Nuti badne,Ati badte,Isin badtan,Inni bade,Isheen badte,Isaan badan
bahamuu,baham_,Ani bahame,Nuti bahamne,Ati bahamte,Isin bahamtan,Inni bahame,Isheen bahamte,Isaan bahaman
bahamuun,baham_,Ani bahame,Nuti bahamne,Ati bahamte,Isin bahamtan,Inni bahame,Isheen bahamte,Isaan bahaman
bahan,bah_,Ani bahe,Nuti bahne,Ati bahte,Isin bahtan,Inni bahe,Isheen bahte,Isaan bahan
bahe,bah_,Ani bahe,Nuti bahne,Ati bahte,Isin bahtan,Inni bahe,Isheen bahte,Isaan bahan
bahu,bah_,Ani bahe,Nuti bahne,Ati bahte,Isin bahtan,Inni bahe,Isheen bahte,Isaan bahan
bahuu,bah_,Ani bahe,Nuti bahne,Ati bahte,Isin bahtan,Inni bahe,Isheen bahte,Isaan bahan
bahuun,bah_,Ani bahe,Nuti bahne,Ati bahte,Isin bahtan,Inni bahe,Isheen bahte,Isaan bahan
balleessuu,balleess_,Ani balleesse,Nuti balleessne,Ati balleesste,Isin balleesstan,Inni balleesse,Isheen balleesste,Isaan balleessan
baqsuu,baqs_,Ani baqse,Nuti baqsne,Ati baqste,Isin baqstan,Inni baqse,Isheen baqste,Isaan baqsan
barachuu,barat_,Ani barate,Nuti baratne,Ati baratte,Isin barattan,Inni barate,Isheen baratte,Isaan baratan
barachuun,barat_,Ani barate,Nuti baratne,Ati baratte,Isin barattan,Inni barate,Isheen baratte,Isaan baratan
baranne,barat_,Ani barate,Nuti baratne,Ati baratte,Isin barattan,Inni barate,Isheen baratte,Isaan baratan
baratan,barat_,Ani barate,Nuti baratne,Ati baratte,Isin barattan,Inni barate,Isheen baratte,Isaan baratan
baratu,barat_,Ani barate,Nuti baratne,Ati baratte,Isin barattan,Inni barate,Isheen baratte,Isaan baratan
barbaachise,barbaachis_,Ani barbaachise,Nuti barbaachisne,Ati barbaachiste,Isin barbaachistan,Inni barbaachise,Isheen barbaachiste,Isaan barbaachisan
barbaachisu,barbaachis_,Ani barbaachise,Nuti barbaachisne,Ati barbaachiste,Isin barbaachistan,Inni barbaachise,Isheen barbaachiste,Isaan barbaachisan
barbaadame,barbaadam_,Ani barbaadame,Nuti barbaadamne,Ati barbaadamte,Isin barbaadamtan,Inni barbaadame,Isheen barbaadamte,Isaan barbaadaman
barbaadamuu,barbaadam_,Ani barbaadame,Nuti barbaadamne,Ati barbaadamte,Isin barbaadamtan,Inni barbaadame,Isheen barbaadamte,Isaan barbaadaman
barbaaddachuun,barbaaddat_,Ani barbaaddate,Nuti barbaaddatne,Ati barbaaddatte,Isin barbaaddattan,Inni barbaaddate,Isheen barbaaddatte,Isaan barbaaddatan
barbaaddu,barbaad_,Ani barbaade,Nuti barbaadne,Ati barbaadte,Isin barbaadtan,Inni barbaade,Isheen barbaadte,Isaan barbaadan
barreessan,barreess_,Ani barreesse,Nuti barreessne,Ati barreesste,Isin barreesstan,Inni barreesse,Isheen barreesste,Isaan barreessan
barreessuu,barreess_,Ani barreesse,Nuti barreessne,Ati barreesste,Isin barreesstan,Inni barreesse,Isheen barreesste,Isaan barreessan
barsiisu,barsiis_,Ani barsiise,Nuti barsiisne,Ati barsiiste,Isin barsiistan,Inni barsiise,Isheen barsiiste,Isaan barsiisan
barsiisuu,barsiis_,Ani barsiise,Nuti barsiisne,Ati barsiiste,Isin barsiistan,Inni barsiise,Isheen barsiiste,Isaan barsiisan
baruun,bar_,Ani bare,Nuti barne,Ati barte,Isin bartan,Inni bare,Isheen barte,Isaan baran
bayan,bay_,Ani baye,Nuti bayne,Ati bayte,Isin baytan,Inni baye,Isheen bayte,Isaan bayan
beekame,beekam_,Ani beekame,Nuti beekamne,Ati beekamte,Isin beekamtan,Inni beekame,Isheen beekamte,Isaan beekaman
beekamu,beekam_,Ani beekame,Nuti beekamne,Ati beekamte,Isin beekamtan,Inni beekame,Isheen beekamte,Isaan beekaman
beekamuu,beekam_,Ani beekame,Nuti beekamne,Ati beekamte,Isin beekamtan,Inni beekame,Isheen beekamte,Isaan beekaman
beekkamu,beekkam_,Ani beekkame,Nuti beekkamne,Ati beekkamte,Isin beekkamtan,Inni beekkame,Isheen beekkamte,Isaan beekkaman
beeku,beek_,Ani beeke,Nuti beekne,Ati beekte,Isin beektan,Inni beeke,Isheen beekte,Isaan beekan
beekuu,beek_,Ani beeke,Nuti beekne,Ati beekte,Isin beektan,Inni beeke,Isheen beekte,Isaan beekan
beekuun,beek_,Ani beeke,Nuti beekne,Ati beekte,Isin beektan,Inni beeke,Isheen beekte,Isaan beekan
bittimsuu,bittims_,Ani bittimse,Nuti bittimsne,Ati bittimste,Isin bittimstan,Inni bittimse,Isheen bittimste,Isaan bittimsan
bituun,bit_,Ani bite,Nuti bitne,Ati bitte,Isin bittan,Inni bite,Isheen bitte,Isaan bitan
bulan,bul_,Ani bule,Nuti bulne,Ati bulte,Isin bultan,Inni bule,Isheen bulte,Isaan bulan
bulchu,bulch_,Ani bulche,Nuti bulchne,Ati bulchte,Isin bulchtan,Inni bulche,Isheen bulchte,Isaan bulchan
bulchuu,bulch_,Ani bulche,Nuti bulchne,Ati bulchte,Isin bulchtan,Inni bulche,Isheen bulchte,Isaan bulchan
bulte,bul_,Ani bule,Nuti bulne,Ati bulte,Isin bultan,Inni bule,Isheen bulte,Isaan bulan
bulu,bul_,Ani bule,Nuti bulne,Ati bulte,Isin bultan,Inni bule,Isheen bulte,Isaan bulan
busheessuu,busheess_,Ani busheesse,Nuti busheessne,Ati busheesste,Isin busheesstan,Inni busheesse,Isheen busheesste,Isaan busheessan
buufame,buufam_,Ani buufame,Nuti buufamne,Ati buufamte,Isin buufamtan,Inni buufame,Isheen buufamte,Isaan buufaman
buusu,buus_,Ani buuse,Nuti buusne,Ati buuste,Isin buustan,Inni buuse,Isheen buuste,Isaan buusan
bu'u,bu'_,Ani bu'e,Nuti bu'ne,Ati bu'te,Isin bu'tan,Inni bu'e,Isheen bu'te,Isaan bu'an
calaqqisiisan,calaqqisiis_,Ani calaqqisiise,Nuti calaqqisiisne,Ati calaqqisiiste,Isin calaqqisiistan,Inni calaqqisiise,Isheen calaqqisiiste,Isaan calaqqisiisan
calaqqisiisuu,calaqqisiis_,Ani calaqqisiise,Nuti calaqqisiisne,Ati calaqqisiiste,Isin calaqqisiistan,Inni calaqqisiise,Isheen calaqqisiiste,Isaan calaqqisiisan
calaqqisuu,calaqqis_,Ani calaqqise,Nuti calaqqisne,Ati calaqqiste,Isin calaqqistan,Inni calaqqise,Isheen calaqqiste,Isaan calaqqisan
ceesifne,ceesis_,Ani ceesise,Nuti ceesisne,Ati ceesiste,Isin ceesistan,Inni ceesise,Isheen ceesiste,Isaan ceesisan
cehuun,ceh_,Ani cehe,Nuti cehne,Ati cehte,Isin cehtan,Inni cehe,Isheen cehte,Isaan cehan
ceuun,ce_,Ani cee,Nuti cene,Ati cete,Isin cetan,Inni cee,Isheen cete,Isaan cean
ce'ame,ce'am_,Ani ce'ame,Nuti ce'amne,Ati ce'amte,Isin ce'amtan,Inni ce'ame,Isheen ce'amte,Isaan ce'aman
cobsuun,cobs_,Ani cobse,Nuti cobsne,Ati cobste,Isin cobstan,Inni cobse,Isheen cobste,Isaan cobsan
cunqursuu,cunqurs_,Ani cunqurse,Nuti cunqursne,Ati cunqurste,Isin cunqurstan,Inni cunqurse,Isheen cunqurste,Isaan cunqursan
daangeffame,daangeffam_,Ani daangeffame,Nuti daangeffamne,Ati daangeffamte,Isin daangeffamtan,Inni daangeffame,Isheen daangeffamte,Isaan daangeffaman
dabarsu,dabars_,Ani dabarse,Nuti dabarsne,Ati dabarste,Isin dabarstan,Inni dabarse,Isheen dabarste,Isaan dabarsan
dabarsuu,dabars_,Ani dabarse,Nuti dabarsne,Ati dabarste,Isin dabarstan,Inni dabarse,Isheen dabarste,Isaan dabarsan
dabarsuun,dabars_,Ani dabarse,Nuti dabarsne,Ati dabarste,Isin dabarstan,Inni dabarse,Isheen dabarste,Isaan dabarsan
dabruun,dabr_,Ani dabre,Nuti dabrne,Ati dabrte,Isin dabrtan,Inni dabre,Isheen dabrte,Isaan dabran
dadhaban,dadhab_,Ani dadhabe,Nuti dadhabne,Ati dadhabte,Isin dadhabtan,Inni dadhabe,Isheen dadhabte,Isaan dadhaban
daligamuu,daligam_,Ani daligame,Nuti daligamne,Ati daligamte,Isin daligamtan,Inni daligame,Isheen daligamte,Isaan daligaman
dandaame,dandaam_,Ani dandaame,Nuti dandaamne,Ati dandaamte,Isin dandaamtan,Inni dandaame,Isheen dandaamte,Isaan dandaaman
dandahu,dandah_,Ani dandahe,Nuti dandahne,Ati dandahte,Isin dandahtan,Inni dandahe,Isheen dandahte,Isaan dandahan
dandame,dandam_,Ani dandame,Nuti dandamne,Ati dandamte,Isin dandamtan,Inni dandame,Isheen dandamte,Isaan dandaman
dandau,danda_,Ani dandae,Nuti dandane,Ati dandate,Isin dandatan,Inni dandae,Isheen dandate,Isaan dandaan
dandauu,danda_,Ani dandae,Nuti dandane,Ati dandate,Isin dandatan,Inni dandae,Isheen dandate,Isaan dandaan
danda'amu,danda'am_,Ani danda'ame,Nuti danda'amne,Ati danda'amte,Isin danda'amtan,Inni danda'ame,Isheen danda'amte,Isaan danda'aman
danda'an,danda'_,Ani danda'e,Nuti danda'ne,Ati danda'te,Isin danda'tan,Inni danda'e,Isheen danda'te,Isaan danda'an
danda'u,danda'_,Ani danda'e,Nuti danda'ne,Ati danda'te,Isin danda'tan,Inni danda'e,Isheen danda'te,Isaan danda'an
dandeenye,danda'_,Ani danda'e,Nuti danda'ne,Ati danda'te,Isin danda'tan,Inni danda'e,Isheen danda'te,Isaan danda'an
dandeessisu,dandeessis_,Ani dandeessise,Nuti dandeessisne,Ati dandeessiste,Isin dandeessistan,Inni dandeessise,Isheen dandeessiste,Isaan dandeessisan
deebifaman,deebifam_,Ani deebifame,Nuti deebifamne,Ati deebifamte,Isin deebifamtan,Inni deebifame,Isheen deebifamte,Isaan deebifaman
deebisuu,deebis_,Ani deebise,Nuti deebisne,Ati deebiste,Isin deebistan,Inni deebise,Isheen deebiste,Isaan deebisan
deebisuun,deebis_,Ani deebise,Nuti deebisne,Ati deebiste,Isin deebistan,Inni deebise,Isheen deebiste,Isaan deebisan
deebi'an,deebi'_,Ani deebi'e,Nuti deebi'ne,Ati deebi'te,Isin deebi'tan,Inni deebi'e,Isheen deebi'te,Isaan deebi'an
deebi'uu,deebi'_,Ani deebi'e,Nuti deebi'ne,Ati deebi'te,Isin deebi'tan,Inni deebi'e,Isheen deebi'te,Isaan deebi'an
deeggaramuu,deeggaram_,Ani deeggarame,Nuti deeggaramne,Ati deeggaramte,Isin deeggaramtan,Inni deeggarame,Isheen deeggaramte,Isaan deeggaraman
deeman,deem_,Ani deeme,Nuti deemne,Ati deemte,Isin deemtan,Inni deeme,Isheen deemte,Isaan deeman
deeme,deem_,Ani deeme,Nuti deemne,Ati deemte,Isin deemtan,Inni deeme,Isheen deemte,Isaan deeman
deemtu,deem_,Ani deeme,Nuti deemne,Ati deemte,Isin deemtan,Inni deeme,Isheen deemte,Isaan deeman
deemu,deem_,Ani deeme,Nuti deemne,Ati deemte,Isin deemtan,Inni deeme,Isheen deemte,Isaan deeman
deemuu,deem_,Ani deeme,Nuti deemne,Ati deemte,Isin deemtan,Inni deeme,Isheen deemte,Isaan deeman
deemuun,deem_,Ani deeme,Nuti deemne,Ati deemte,Isin deemtan,Inni deeme,Isheen deemte,Isaan deeman
dhaabachuun,dhaabat_,Ani dhaabate,Nuti dhaabatne,Ati dhaabatte,Isin dhaabattan,Inni dhaabate,Isheen dhaabatte,Isaan dhaabatan
dhaadheffame,dhaadheffam_,Ani dhaadheffame,Nuti dhaadheffamne,Ati dhaadheffamte,Isin dhaadheffamtan,Inni dhaadheffame,Isheen dhaadheffamte,Isaan dhaadheffaman
dhaadhessuu,dhaadhess_,Ani dhaadhesse,Nuti dhaadhessne,Ati dhaadhesste,Isin dhaadhesstan,Inni dhaadhesse,Isheen dhaadhesste,Isaan dhaadhessan
dhabsiise,dhabsiis_,Ani dhabsiise,Nuti dhabsiisne,Ati dhabsiiste,Isin dhabsiistan,Inni dhabsiise,Isheen dhabsiiste,Isaan dhabsiisan
dhagahamu,dhagaham_,Ani dhagahame,Nuti dhagahamne,Ati dhagahamte,Isin dhagahamtan,Inni dhagahame,Isheen dhagahamte,Isaan dhagahaman
dhagahamuu,dhagaham_,Ani dhagahame,Nuti dhagahamne,Ati dhagahamte,Isin dhagahamtan,Inni dhagahame,Isheen dhagahamte,Isaan dhagahaman
dhaggeeffadhu,dhaggeeffat_,Ani dhaggeeffate,Nuti dhaggeeffatne,Ati dhaggeeffatte,Isin dhaggeeffattan,Inni dhaggeeffate,Isheen dhaggeeffatte,Isaan dhaggeeffatan
dhahaman,dhaham_,Ani dhahame,Nuti dhahamne,Ati dhahamte,Isin dhahamtan,Inni dhahame,Isheen dhahamte,Isaan dhahaman
dhalatan,dhalat_,Ani dhalate,Nuti dhalatne,Ati dhalatte,Isin dhalattan,Inni dhalate,Isheen dhalatte,Isaan dhalatan
dhalattu,dhalat_,Ani dhalate,Nuti dhalatne,Ati dhalatte,Isin dhalattan,Inni dhalate,Isheen dhalatte,Isaan dhalatan
dhalatu,dhalat_,Ani dhalate,Nuti dhalatne,Ati dhalatte,Isin dhalattan,Inni dhalate,Isheen dhalatte,Isaan dhalatan
dhalchan,dhalch_,Ani dhalche,Nuti dhalchne,Ati dhalchte,Isin dhalchtan,Inni dhalche,Isheen dhalchte,Isaan dhalchan
dheerate,dheerat_,Ani dheerate,Nuti dheeratne,Ati dheeratte,Isin dheerattan,Inni dheerate,Isheen dheeratte,Isaan dheeratan
dheeressuu,dheeress_,Ani dheeresse,Nuti dheeressne,Ati dheeresste,Isin dheeresstan,Inni dheeresse,Isheen dheeresste,Isaan dheeressan
dheeressuun,dheeress_,Ani dheeresse,Nuti dheeressne,Ati dheeresste,Isin dheeresstan,Inni dheeresse,Isheen dheeresste,Isaan dheeressan
dhiheesse,dhiheess_,Ani dhiheesse,Nuti dhiheessne,Ati dhiheesste,Isin dhiheesstan,Inni dhiheesse,Isheen dhiheesste,Isaan dhiheessan
dhiheessine,dhiheessi_,Ani dhiheessie,Nuti dhiheessine,Ati dhiheessite,Isin dhiheessitan,Inni dhiheessie,Isheen dhiheessite,Isaan dhiheessian
dhiibe,dhiib_,Ani dhiibe,Nuti dhiibne,Ati dhiibte,Isin dhiibtan,Inni dhiibe,Isheen dhiibte,Isaan dhiiban
dhiibu,dhiib_,Ani dhiibe,Nuti dhiibne,Ati dhiibte,Isin dhiibtan,Inni dhiibe,Isheen dhiibte,Isaan dhiiban
dhiifamuu,dhiifam_,Ani dhiifame,Nuti dhiifamne,Ati dhiifamte,Isin dhiifamtan,Inni dhiifame,Isheen dhiifamte,Isaan dhiifaman
dhiisuu,dhiis_,Ani dhiise,Nuti dhiisne,Ati dhiiste,Isin dhiistan,Inni dhiise,Isheen dhiiste,Isaan dhiisan
dhiite,dhiit_,Ani dhiite,Nuti dhiitne,Ati dhiitte,Isin dhiittan,Inni dhiite,Isheen dhiitte,Isaan dhiitan
dhorkuutu,dhork_,Ani dhorke,Nuti dhorkne,Ati dhorkte,Isin dhorktan,Inni dhorke,Isheen dhorkte,Isaan dhorkan
dhufan,dhuf_,Ani dhufe,Nuti dhufne,Ati dhufte,Isin dhuftan,Inni dhufe,Isheen dhufte,Isaan dhufan
dhufe,dhuf_,Ani dhufe,Nuti dhufne,Ati dhufte,Isin dhuftan,Inni dhufe,Isheen dhufte,Isaan dhufan
dhufuu,dhuf_,Ani dhufe,Nuti dhufne,Ati dhufte,Isin dhuftan,Inni dhufe,Isheen dhufte,Isaan dhufan
dhufuun,dhuf_,Ani dhufe,Nuti dhufne,Ati dhufte,Isin dhuftan,Inni dhufe,Isheen dhufte,Isaan dhufan
dhumuu,dhum_,Ani dhume,Nuti dhumne,Ati dhumte,Isin dhumtan,Inni dhume,Isheen dhumte,Isaan dhuman
diigamu,diigam_,Ani diigame,Nuti diigamne,Ati diigamte,Isin diigamtan,Inni diigame,Isheen diigamte,Isaan diigaman
